code,title
1010,Processing and preserving of meat
1020,"Processing and preserving of fish, crustaceans and molluscs"
1030,Processing and preserving of fruits and vegetables
1040,Manufacture of vegetable and animal oils and fats
1050,Manufacture of dairy products
1061,Manufacture of grain mill products
1062,Manufacture of starches and starch products
1071,Manufacture of bakery products
1072,Manufacture of sugar
1073,"Manufacture of cocoa, chocolate and non-chocolate confectionery"
1074,"Manufacture of macaroni, noodles, vermicelli and other related products"
1075,Manufacture of prepared meals and dishes
1076,"Manufacture of coffee, tea and related products"
1079,Manufacture of other food products n.e.c.
1080,Manufacture of prepared animal feeds
1101,"Distilling, rectifying and blending of spirits"
1102,Manufacture of wines
1103,Manufacture of malt liquors and malt
1104,"Manufacture of soft drinks, production of mineral waters and other bottled waters"
1111,Growing of leafy and fruit vegetables
1112,Growing of mushrooms
1113,Growing of root crops
1119,Growing of food crops (non-hydroponics) n.e.c.
1120,Growing of leafy and fruit vegetables (hydroponics)
1130,Growing of fruits
1141,Growing of orchids
1142,Growing of ornamental plants
1149,Growing of nursery products n.e.c.
1190,Growing of other crops
1200,Manufacture of tobacco products
1310,"Spinning, weaving and finishing of textiles"
1391,Manufacture of knitted and crocheted fabrics
1392,Manufacture of made-up textile articles except apparel
1393,Manufacture of carpets and rugs
1394,"Manufacture of cordage, rope, twine and netting"
1399,Manufacture of other textiles n.e.c.
1410,Manufacture of wearing apparel except fur apparel
1411,Pig farms
1412,Cattle farms (including dairy cattle)
1413,Goat farms (including goat's milk production)
1420,Manufacture of articles of fur
1421,Poultry breeding/hatcheries
1422,Broiler farms (chickens reared for meat)
1423,Layer farms (chickens reared for eggs)
1424,Duck farms
1430,Manufacture of knitted and crocheted apparel
1491,Dog breeding
1492,Bird breeding
1493,Crocodile farms
1494,Frog farms
1499,Other animal production n.e.c.
1500,Growing of crops combined with animal production (mixed farming)
1511,Tanning and dressing of leather; dressing and dyeing of fur
1512,"Manufacture of luggage, handbags and the like; saddlery and harness"
1520,Manufacture of footwear
1601,Extension services (including agricultural research and experimentation)
1609,"Agricultural and animal husbandry service activities except veterinary activities n.e.c. (eg pest control, collection of agricultural by-products)"
1610,Sawmilling and planing of wood
1621,Manufacture of veneer sheets and wood-based panels
1622,Manufacture of builders' carpentry and joinery
1623,Manufacture of wooden containers
1629,"Manufacture of other products of wood and articles of cork, straw and plaiting materials"
1701,"Manufacture of pulp, paper and paperboard"
1702,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard
1709,Manufacture of other articles of paper and paperboard
1811,Printing
1812,Service activities related to printing
1820,Reproduction of recorded media
1910,Manufacture of coke oven products
1920,Manufacture of refined petroleum products
2000,"Forestry, logging and related service activities"
2011,Manufacture of basic chemicals
2012,Manufacture of fertilisers and nitrogen compounds
2013,Manufacture of petrochemicals; plastic and synthetic rubber in primary forms
2021,Manufacture of pesticides and other agro-chemical products
2022,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
2023,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations"
2024,Manufacture of additives
2029,Manufacture of other chemical products n.e.c.
2030,Manufacture of man-made fibres
2101,Manufacture of pharmaceutical products
2102,Manufacture of biological products
2103,Manufacture of traditional chinese medicine
2211,Processing of natural rubber and gums
2212,"Manufacture of rubber tyres and tubes, retreading and rebuilding of rubber tyres"
2219,Manufacture of other rubber products except rubber footwear and toys
2221,Manufacture of plastic products except plastic footwear and toys
2222,Plastic product services
2310,Manufacture of glass and glass products
2391,Manufacture of clay products
2393,Manufacture of other porcelain and ceramic products
2394,"Manufacture of cement, lime and plaster"
2395,"Manufacture of articles of concrete, cement and plaster "
2396,"Cutting, shaping and finishing of stone"
2399,Manufacture of other non-metallic mineral products n.e.c.
2410,Manufacture of basic iron and steel
2420,Manufacture of basic precious and non-ferrous metals
2431,Casting of iron and steel
2432,Casting of non-ferrous metals
2511,Manufacture of structural metal products
2512,"Manufacture and repair of tanks, reservoirs and containers of metal"
2513,Manufacture and repair of steam generators except central heating hot water boilers
2520,Manufacture and repair of weapons and ammunition
2591,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
2592,Treatment and coating of metals
2593,"Manufacture of cutlery, hand tools and general hardware"
2594,Manufacture of metal wire and cable products
2595,"Manufacture of metal cans, containers and related products"
2599,Manufacture of other fabricated metal products n.e.c.
2611,Manufacture of semiconductor devices
2612,Manufacture of other electronic components and boards
2620,Manufacture of computers and peripheral equipment
2630,Manufacture of communications equipment
2640,Manufacture of consumer electronics
2651,"Manufacture and repair of measuring, testing, navigating and control equipment"
2652,Manufacture of watches and clocks
2660,"Manufacture and repair of irradiation, electromedical and electrotherapeutic equipment"
2670,Manufacture of optical instruments and photographic equipment
2680,Manufacture of magnetic and optical media
2710,"Manufacture and repair of electric motors, generators, transformers, electricity distribution and control apparatus"
2720,Manufacture of batteries and accumulators
2732,Manufacture of electronic and electric wires and cables
2733,Manufacture and repair of wiring devices
2740,Manufacture and repair of electric lighting equipment
2750,Manufacture of domestic appliances
2790,Manufacture of other electrical equipment
2811,"Manufacture and repair of engines and turbines except aircraft, vehicle and cycle engines"
2812,"Manufacture and repair of pumps, compressors, taps and valves"
2814,"Manufacture of bearings, gears, gearing and driving elements"
2815,"Manufacture and repair of ovens, furnaces and furnace burners"
2816,Manufacture and repair of lifting and handling equipment
2817,Manufacture and repair of office machinery and equipment (except computers and peripheral equipment)
2819,Manufacture and repair of other general purpose machinery
2821,Manufacture and repair of agricultural and forestry machinery
2822,Manufacture and repair of metal-forming machinery and machine tools
2824,"Manufacture and repair of machinery for mining, quarrying and construction"
2825,"Manufacture and repair of machinery for food, beverage and tobacco processing"
2826,"Manufacture and repair of machinery for textile, apparel and leather production"
2827,Manufacture and repair of semiconductor related equipment
2829,Manufacture and repair of other special purpose machinery
2830,Installation of industrial machinery and equipment
2910,Manufacture of motor vehicles
2920,"Manufacture of motor vehicle bodies (coachwork), trailers and semi-trailers"
2930,Manufacture of parts and accessories for motor vehicles
3011,Building and repairing of ships and floating structures
3012,Building of pleasure boats and sporting boats
3020,Manufacture of railway locomotives and rolling stock
3030,Manufacture of air and spacecraft and related machinery
3040,Manufacture of military fighting vehicles
3091,Manufacture of motorcycles
3092,Manufacture of bicycles and invalid carriages
3099,Manufacture of other transport equipment n.e.c.
3100,Manufacture of furniture
3101,Fishing in kelongs
3102,Ocean fishing except fishing in kelongs
3103,Coastal fishing except fishing in kelongs
3109,Fishing n.e.c.
3201,Food fish farms
3202,Ornamental fish farms
3209,"Operation of fish hatcheries and fish farms n.e.c. (including turtle, prawn, crab, mussel farms)"
3211,Manufacture of jewellery and related articles
3212,Manufacture of costume jewellery and related articles
3220,Manufacture of musical instruments
3230,Manufacture of sports goods
3240,Manufacture of games and toys
3250,Manufacture of medical and dental instruments and supplies
3290,Other manufacturing n.e.c.
3301,Fishery research services (including experimentation and culture)
3309,Service activities incidental to fishing n.e.c.
3510,"Electric power generation, transmission and distribution"
3520,Manufacture of gas; distribution of gaseous fuels through mains
3530,Steam and air-conditioning supply
3600,"Water collection, treatment and supply"
3700,Sewerage
3810,Collection of waste
3820,Treatment and disposal of waste (including remediation activities)
3830,Materials recovery
4100,Construction of buildings
4210,Construction of roads and railways
4220,Construction of utility projects
4290,Construction of other civil engineering projects
4311,Demolition
4312,Site preparation
4321,Electrical installation
4322,"Plumbing, heat and air-conditioning installation"
4329,Other construction installation
4330,Building completion and finishing
4390,Other specialised construction activities
4610,Wholesale on a fee or contract basis
4621,Wholesale of agricultural raw materials and live animals except tropical produce
4622,Wholesale of tropical produce
4630,"Wholesale of food, beverages and tobacco"
4641,"Wholesale of textiles, clothing, footwear and leather goods"
4642,Wholesale of personal effects
4643,"Wholesale of furniture, home furnishings and other household equipment"
4644,Wholesale of sporting and other recreational goods
4645,Wholesale of handicrafts and fancy goods
4646,Wholesale of medicinal and pharmaceutical products
4647,"Wholesale of paper, paper and cellophane products and stationery"
4649,Wholesale of other household goods
4651,"Wholesale of computers, computer peripheral equipment and software"
4652,Wholesale of electronic and telecommunications equipment and parts
4653,"Wholesale of agricultural machinery, equipment and supplies"
4654,"Wholesale of industrial, construction and related machinery and equipment"
4655,Wholesale of transport equipment except motor vehicles and motorcycles
4656,"Wholesale of motor vehicles, parts and accessories"
4659,Wholesale of other machinery and equipment
4661,"Wholesale of solid, liquid and gaseous fuels and related products"
4662,Wholesale of metals and metal ores
4663,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies"
4664,Wholesale of chemicals and chemical products
4665,"Wholesale of other intermediate products, waste and scrap"
4666,Ship chandlers and ship bunkering
4669,Wholesale of specific commodities n.e.c.
4690,General wholesale trade
4711,"Retail sale in non-specialised stores with food, beverages or tobacco predominating"
4719,Retail sale in other non-specialised stores
4721,Retail sale of food in specialised stores
4722,Retail sale of beverages in specialised stores
4723,Retail sale of tobacco products in specialised stores
4731,"Retail sale of motor vehicles, parts and accessories in specialised stores"
4732,Retail sale of automotive fuel in specialised stores
4741,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialised stores"
4742,Retail sale of audio and video equipment in specialised stores
4751,Retail sale of textiles in specialised stores
4752,"Retail sale of hardware, paint and glass in specialised stores"
4753,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialised stores"
4761,"Retail sale of books, newspapers and stationery in specialised stores"
4762,Retail sale of music and video recordings in specialised stores
4763,Retail sale of sporting equipment in specialised stores
4764,Retail sale of games and toys in specialised stores
4771,"Retail sale of clothing, footwear and leather articles in specialised stores"
4772,"Retail sale of pharmaceutical and medical goods, cosmetics and toilet articles in specialised stores"
4773,Retail sale of personal effects in specialised stores
4774,"Retail sale of handicrafts and fancy goods, flowers, plants and pet animals in specialised stores"
4775,Retail sale of optical and photographic goods in specialised stores
4776,Retail sale of other new goods in specialised stores
4777,Retail sale of second-hand goods in stores
4780,Retail sale via stalls and markets of uncooked food and other commodities
4791,Retail sale via internet
4799,"Other retail sale not in stores, stalls or markets"
4910,Passenger and freight rail transport
4921,Passenger land transport
4922,Aerial cableways
4923,Freight land transport
4930,Transport via pipelines
5001,Passenger water transport
5002,Freight water transport
5100,Air transport
5210,Warehousing and storage
5221,Supporting services to land transport
5222,Supporting services to water transport
5223,Supporting services to air transport
5224,Cargo handling
5225,Marine surveying services and classification societies
5229,Other transportation support activities
5310,National post activities
5320,Courier activities other than national post activities
5510,Short term accommodation activities
5590,Other accommodation (except residential)
5611,"Restaurants, cafes and coffee houses"
5612,"Fast food outlets, food courts and food kiosks"
5613,Pubs (including bars)
5614,Stalls selling cooked food and prepared drinks
5620,Food caterers and canteens
5811,Book publishing
5812,Publishing of directories and mailing lists
